stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1166,-117.258553,54.355991,315.3290482820739,140.8204852453449,21.503817066808963,4014.3800641513535,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.1121e-08,3.552364010797961e-08,1.0,0.5779,0.7100607428800245
5B.1167,-117.245796,54.354401,336.28237298945595,152.5166218022515,15.531747027326688,3742.697088899736,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.7074e-08,1.7866188531095752e-08,1.0,0.9612,0.9298635195586034
5B.1168,-117.236603,54.3596,2.4061979490262058,143.53939780030112,20.17048852280154,3940.4527933137174,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2691e-08,8.88750820322175e-09,1.0,1.3374,1.2571893994432322
5B.1171,-117.197601,54.3591,56.69141655374806,122.07452476410361,29.450062338765125,4758.335712733235,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.3658e-08,-1.7636007187344126e-08,1.0,0.6488,0.777143835615897
5B.1174,-117.2743,54.355999,299.9559913392848,127.45937660194417,27.424526424215472,4494.708249826452,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.6598e-08,4.4707337838560834e-08,1.0,0.506,0.6063511665949464
5B.1175,-117.267799,54.360001,312.8916692708882,128.58516510737513,26.972150548481437,4445.491942548341,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,6.3016e-08,4.8731602987464003e-08,1.0,0.2997,0.5414513370192692
5B.1176,-117.253799,54.360401,330.6950208720524,137.17564225346496,23.229490435116332,4124.957536279664,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.8966e-08,3.611295225772367e-08,1.0,0.6352,0.710482719131175
5B.1177,-117.2416,54.365299,354.05299510510946,132.42852312704116,25.358519194434933,4290.758948170819,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.5754e-08,2.0396034779540138e-08,1.0,1.06,0.9793164079582177
5B.1178,-117.230766,54.366051,10.336158165720002,130.6580397361325,26.11480663908436,4359.587068940951,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.312e-09,2.7356249428243753e-09,1.0,1.7457,1.8025802318960205
5B.1179,-117.219803,54.364399,26.84876541216429,129.83979910859284,26.456935461262447,4392.789217670984,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.7656e-08,-1.2217056712399101e-08,1.0,1.0125,0.9980131408850162
5B.1180,-117.209503,54.366798,35.523760987165154,121.55018828242791,29.634402756487862,4786.792159810474,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.5652e-08,-1.9758345456213393e-08,1.0,0.5495,0.6403652314673014
5B.1182,-117.278397,54.364601,311.3728749053722,117.00576298745622,31.128857183847472,5058.458414895556,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,6.3021e-08,5.57050668384315e-08,1.0,0.0877,0.36711011520167314
5B.1186,-117.232399,54.370998,6.525481800621958,122.88416113757651,29.160773492594572,4715.44260399555,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,8.2395e-09,7.336495898214195e-09,1.0,1.4828,1.4093714984577925
5B.1187,-117.220596,54.370998,20.144088714139112,120.51261288037537,29.992092867702983,4844.743383343768,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.1811e-08,-8.780036613442914e-09,1.0,1.1637,1.2289488087504243
5B.1188,-117.209503,54.371799,30.404435924456624,115.7337266676649,31.512599311550613,5143.6821615137305,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.2021e-08,-1.8225932877484813e-08,1.0,0.6268,0.7461804438932849
5B.1190,-117.278397,54.371201,319.21195337857966,111.261652152255,32.73393001222385,5484.0119537302035,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.6534e-08,5.6444176195672064e-08,1.0,-0.1169,0.2609334686042164
5B.1192,-117.255997,54.372398,339.631530848968,118.34251054323641,30.708962754473056,4973.526932541537,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.7972e-08,4.212329486232343e-08,1.0,0.5736,0.6216020164435823
5B.1193,-117.246696,54.3755,350.6702464733906,116.1729593318995,31.381861489358343,5113.744359226956,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.1839e-08,2.931488713338044e-08,1.0,0.7754,0.8163219668932978
5B.1194,-117.232101,54.377102,5.6355426494234475,114.47258518083981,31.877456247660437,5232.820895650251,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,8.5973e-09,8.699544546065063e-09,1.0,1.3064,1.332623809885387
5B.1209,-117.214401,54.311199,157.21552793210975,112.4650212381615,32.42536109845717,5385.42511302605,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.6701e-08,4.788958937658464e-08,1.0,0.3821,0.5128447834713223
5B.1210,-117.214203,54.319698,150.16582224722364,122.61749330817489,29.256673889950946,4729.432491976413,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.8329e-08,5.2495404450622234e-08,1.0,0.4531,0.49677660244975486
5B.1215,-117.267403,54.3186,214.63786358263687,118.51502225979081,30.65355387289796,4962.890671373145,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.5232e-08,-2.1362440105613462e-08,1.0,0.5224,0.6372536769589019
